"time","year","week","BadenWuerttemberg","Bavaria","Berlin","Brandenburg","Bremen","Hamburg","Hesse","MecklenburgVorpommern","Lower.Saxony","North.RhineWestphalia","RhinelandPalatinate","Saarland","Saxony","SaxonyAnhalt","SchleswigHolstein","Thuringia","Unknown","Germany"
2017.73076923077,2017,38,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5
2017.75,2017,39,0,1,0,0,0,1,0,1,2,8,1,0,0,2,0,0,0,16
2017.76923076923,2017,40,0,1,1,0,0,1,3,0,1,1,0,0,0,0,1,1,0,10
2017.78846153846,2017,41,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,6
2017.80769230769,2017,42,1,1,2,0,0,0,2,0,1,5,1,1,1,1,0,0,0,16
2017.82692307692,2017,43,2,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8
2017.84615384615,2017,44,0,1,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,8
2017.86538461538,2017,45,1,4,0,0,0,0,3,0,1,4,1,0,0,0,0,0,0,14
2017.88461538462,2017,46,2,3,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,12
2017.90384615385,2017,47,4,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,11
2017.92307692308,2017,48,1,3,2,0,0,0,1,0,0,4,1,0,1,0,0,0,0,13
2017.94230769231,2017,49,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
2017.96153846154,2017,50,0,2,1,0,0,1,0,0,2,3,2,0,0,0,0,0,0,11
2017.98076923077,2017,51,3,5,1,0,0,0,1,0,3,4,2,1,0,0,1,2,0,23
2018,2017,52,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,4
